strategy,bins_1,bins_2,dataset,classifier,accuracy_score,f1_score,precision_score,recall_score
uniform,6,6,linear,AdaBoost,0.925,0.9268292682926829,1.0,0.8636363636363636
uniform,6,6,linear,Naive Bayes,0.925,0.9268292682926829,1.0,0.8636363636363636
uniform,6,6,linear,QDA,0.925,0.9268292682926829,1.0,0.8636363636363636
uniform,6,7,moon,Nearest Neighbors,0.95,0.9523809523809523,0.9523809523809523,0.9523809523809523
uniform,6,7,moon,Linear SVM,0.875,0.8780487804878048,0.9,0.8571428571428571
uniform,6,7,moon,RBF SVM,0.925,0.9268292682926829,0.95,0.9047619047619048
uniform,6,7,moon,Gaussian Process,0.95,0.9523809523809523,0.9523809523809523,0.9523809523809523
uniform,6,7,moon,Decision Tree,0.95,0.9523809523809523,0.9523809523809523,0.9523809523809523
uniform,6,7,moon,Random Forest,0.95,0.9523809523809523,0.9523809523809523,0.9523809523809523
uniform,6,7,moon,Neural Net,0.875,0.8780487804878048,0.9,0.8571428571428571
uniform,6,7,moon,AdaBoost,0.95,0.9523809523809523,0.9523809523809523,0.9523809523809523
uniform,6,7,moon,Naive Bayes,0.8,0.8,0.8421052631578947,0.7619047619047619
uniform,6,7,moon,QDA,0.85,0.8571428571428571,0.8571428571428571,0.8571428571428571
uniform,6,7,radial,Nearest Neighbors,0.85,0.8636363636363635,0.95,0.7916666666666666
uniform,6,7,radial,Linear SVM,0.4,0.0,0.0,0.0
uniform,6,7,radial,RBF SVM,0.725,0.7317073170731708,0.8823529411764706,0.625
uniform,6,7,radial,Gaussian Process,0.85,0.8636363636363635,0.95,0.7916666666666666
uniform,6,7,radial,Decision Tree,0.8,0.8095238095238096,0.9444444444444444,0.7083333333333334
uniform,6,7,radial,Random Forest,0.85,0.8636363636363635,0.95,0.7916666666666666
uniform,6,7,radial,Neural Net,0.85,0.8636363636363635,0.95,0.7916666666666666
uniform,6,7,radial,AdaBoost,0.8,0.8,1.0,0.6666666666666666
uniform,6,7,radial,Naive Bayes,0.725,0.7027027027027027,1.0,0.5416666666666666
